"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: allocationSize"
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.90","sample",16,1,"205,000000",NaN,"ns/op",1
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.95","sample",16,1,"221,000000",NaN,"ns/op",1
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.99","sample",16,1,"268,000000",NaN,"ns/op",1
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.999","sample",16,1,"363,000000",NaN,"ns/op",1
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.9999","sample",16,1,"14213,625600",NaN,"ns/op",1
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p1.00","sample",16,1,"39976960,000000",NaN,"ns/op",1
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack","sample",16,9526722,"2438,953522","193,736688","ns/op",10
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.00","sample",16,1,"365,000000",NaN,"ns/op",10
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.50","sample",16,1,"488,000000",NaN,"ns/op",10
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.90","sample",16,1,"524,000000",NaN,"ns/op",10
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.95","sample",16,1,"605,000000",NaN,"ns/op",10
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.99","sample",16,1,"763,000000",NaN,"ns/op",10
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.999","sample",16,1,"934,000000",NaN,"ns/op",10
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.9999","sample",16,1,"8003584,000000",NaN,"ns/op",10
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p1.00","sample",16,1,"50331648,000000",NaN,"ns/op",10
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack","sample",16,8762611,"10214,880483","365,747903","ns/op",100
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.00","sample",16,1,"2788,000000",NaN,"ns/op",100
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.50","sample",16,1,"3636,000000",NaN,"ns/op",100
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.90","sample",16,1,"3732,000000",NaN,"ns/op",100
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.95","sample",16,1,"4320,000000",NaN,"ns/op",100
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.99","sample",16,1,"5584,000000",NaN,"ns/op",100
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.999","sample",16,1,"11590,208000",NaN,"ns/op",100
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.9999","sample",16,1,"19267584,000000",NaN,"ns/op",100
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p1.00","sample",16,1,"63963136,000000",NaN,"ns/op",100
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack","sample",16,4287549,"73809,111165","1248,024137","ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.00","sample",16,1,"27552,000000",NaN,"ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.50","sample",16,1,"35072,000000",NaN,"ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.90","sample",16,1,"38080,000000",NaN,"ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.95","sample",16,1,"46144,000000",NaN,"ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.99","sample",16,1,"56192,000000",NaN,"ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.999","sample",16,1,"16023552,000000",NaN,"ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.9999","sample",16,1,"27361280,000000",NaN,"ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p1.00","sample",16,1,"56033280,000000",NaN,"ns/op",1000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack","sample",16,428652,"746944,376846","12416,145825","ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.00","sample",16,1,"274944,000000",NaN,"ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.50","sample",16,1,"365056,000000",NaN,"ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.90","sample",16,1,"412160,000000",NaN,"ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.95","sample",16,1,"520192,000000",NaN,"ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.99","sample",16,1,"16351232,000000",NaN,"ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.999","sample",16,1,"28344320,000000",NaN,"ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.9999","sample",16,1,"38675067,699200",NaN,"ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p1.00","sample",16,1,"62324736,000000",NaN,"ns/op",10000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack","sample",16,36608,"8736260,811189","132735,590236","ns/op",100000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.00","sample",16,1,"3002368,000000",NaN,"ns/op",100000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.50","sample",16,1,"4268032,000000",NaN,"ns/op",100000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.90","sample",16,1,"20185088,000000",NaN,"ns/op",100000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.95","sample",16,1,"25740902,400000",NaN,"ns/op",100000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.99","sample",16,1,"35717120,000000",NaN,"ns/op",100000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.999","sample",16,1,"50305564,672005",NaN,"ns/op",100000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.9999","sample",16,1,"61957144,575998",NaN,"ns/op",100000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p1.00","sample",16,1,"69861376,000000",NaN,"ns/op",100000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack","sample",16,3400,"90083511,115294","1543012,184664","ns/op",1000000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.00","sample",16,1,"41025536,000000",NaN,"ns/op",1000000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.50","sample",16,1,"91750400,000000",NaN,"ns/op",1000000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.90","sample",16,1,"124518400,000000",NaN,"ns/op",1000000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.95","sample",16,1,"134742016,000000",NaN,"ns/op",1000000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.99","sample",16,1,"153613762,560000",NaN,"ns/op",1000000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.999","sample",16,1,"180872806,400001",NaN,"ns/op",1000000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p0.9999","sample",16,1,"192151552,000000",NaN,"ns/op",1000000
"ru.vektory79.kspeedup.stack.jmh.SequentialAllocation.sequentialStack:sequentialStack·p1.00","sample",16,1,"192151552,000000",NaN,"ns/op",1000000
